1,Celtic,23,19,3,1,64,11,+53,60,2.61,L W W W D,56227,Kyogo Furuhashi - 10,Kasper Schmeichel
2,Rangers,23,14,5,4,44,18,+26,47,2.04,W D D W W,47443,"Václav Černý, Hamza Igmane - 9",Jack Butland
3,Dundee United,23,10,7,6,31,24,+7,37,1.61,W W L L W,10641,Sam Dalby - 10,Jack Walton
4,Aberdeen,23,10,5,8,32,33,-1,35,1.52,L L L D L,17805,Pape Habib Guèye - 5,Dimitar Mitov
5,Motherwell,23,9,4,10,28,37,-9,31,1.35,D L W D L,5748,"Apostolos Stamatelopoulos, Tawanda Maswanhise - 5",Aston Oxborough
6,Hibernian,23,7,8,8,34,36,-2,29,1.26,W W D D W,15735,Martin Boyle - 7,Josef Bursik
7,Dundee,23,7,6,10,37,41,-4,27,1.17,W L W D D,6988,Simon Murray - 8,Jon McCracken
8,St Mirren,23,8,3,12,27,38,-11,27,1.17,W L L L L,7646,Toyosi Olusanya - 6,Ellery Balcombe
9,Kilmarnock,23,6,7,10,25,37,-12,25,1.09,W L W L D,6441,Bruce Anderson - 8,Robby McCrorie
10,Ross County,23,6,7,10,23,42,-19,25,1.09,W D W W L,4498,"Jordan White, Ronan Hale - 5",Ross Laidlaw
11,Hearts,23,6,6,11,25,31,-6,24,1.04,L D W W D,16968,James Wilson - 4,Craig Gordon
12,St Johnstone,23,4,3,16,25,47,-22,15,0.65,L L D L L,5603,"Nicky Clark, Benjamin Mbunga-Kimpioka - 6",Joshua Rae
